id	name	doc	is_pii	langs	contexts	translations.ru.name	translations.ru.doc	links.url	links.type
email	Email (Electronic mail)	"Electronic mail (email or e-mail) is a method of exchanging messages (""mail"") between people using electronic devices. Email was thus conceived as the electronic (digital) version of, or counterpart to, mail, at a time when ""mail"" meant only physical mail (hence e- + mail)."	True	common,ru	common,pii	Электронная почта (email)	Электро́нная по́чта (англ. email, e-mail [iˈmeɪl], от англ. electronic mail) — технология и служба по пересылке и получению электронных сообщений (называемых «письма», «электронные письма» или «сообщения») между пользователями компьютерной сети (в том числе — Интернета).	https://en.wikipedia.org/wiki/Email	wikipedia
encompanyname	Company/business name in English	English written company/business/legal name of business entity	False	en	companies	Название компании на английском языке	Название компании написанное на английском языке		
endayofweek	Day of week (in English)	English names of the week days	False	en	datetime	День недели (на английском)	Название для недели на английском языке	https://en.wikipedia.org/wiki/Workweek_and_weekend	wikipedia
enmonth	Month name (English)	English name of the month	False	en	datetime	Название месяца (на английском)	Название месяца написанное на английском языке	https://en.wikipedia.org/wiki/Month	wikipedia
enmonthshort	Short name of month (English)	Abbreviated short English name/abbreviation of month	False	en	datetime	Месяц, краткое название (английский)	Краткое название месяца на английском языке	https://en.wikipedia.org/wiki/Month	wikipedia
eui48	MAC Address (EUI48) of the device	A media access control address (MAC address) is a unique identifier assigned to a network interface controller (NIC) for use as a network address in communications within a network segment.	True	common	internet,pii				
fedgrbs	Russian direct government budget receiver and distributor code	3 digits code of the Russian direct government budget receiver and distributor. Assigned to each government ministry, agency, service and some other budget distributor organizations	False	ru	government				
filename	Name of the file	File name with common notation like somefile.ext	False	common	common				
gender	Gender	Gender flag and/or any other identification value	True	common	pii				
geopoint	Geopoint	Geographic point as string with latitude and longitude	True	common	geo				
guid	GUID (Globally unique identifier)	A universally unique identifier (UUID) is a 128-bit label used for information in computer systems. The term globally unique identifier (GUID) is also used.	False	common	identifiers				
inn	INN (Russian tax identifier)	Russian organization/person tax identification number (INN) is unique for each person and organization.	False	ru	companies				
ipaddr	IPv4 or IPv6 address	Internet Protocol version 4 (IPv4) or Internet Protocol version 6 (IPv6) address	True	common	internet,pii				
ipsubnet	IPv4 or IPv6 subnet	Subnetwork of IPv4 or IPv6 addresses	True	common	internet				
ipv4	Internet Protocol version 4 (IPv4)	Internet Protocol version 4 (IPv4) is the fourth version of the Internet Protocol (IP). It is one of the core protocols of standards-based internetworking methods in the Internet and other packet-switched networks.	True	common	internet,pii				
ipv4subnet	IPv4 subnet	Subnetwork of IPv4 addresses	True	common	internet				
ipv6	Internet Protocol version 6 (IPv6)	Internet Protocol version 6 (IPv6) is the most recent version of the Internet Protocol (IP), the communications protocol that provides an identification and location system for computers on networks and routes traffic across the Internet.	True	common	internet,pii				
isbn10	International Standard Book Number 10-digits (ISBN10)	The International Standard Book Number (ISBN) is a numeric commercial book identifier that is intended to be unique. Publishers purchase ISBNs from an affiliate of the International ISBN Agency	False	common	objectids			https://en.wikipedia.org/wiki/International_Standard_Book_Number	wikipedia
isbn13	International Standard Book Number 13-digits (ISBN13)	The International Standard Book Number (ISBN) is a numeric commercial book identifier that is intended to be unique. Publishers purchase ISBNs from an affiliate of the International ISBN Agency	False	common	objectids			https://en.wikipedia.org/wiki/International_Standard_Book_Number	wikipedia
kbk	Russian budget classification code (KBK)	Russian budget classification code KBK (kod byudzhetnoy klassifikacii) identifiers certain budget allocation of the federal or regional budget	False	ru	government	Код бюджетной классификации (КБК)	Код бюджетной классификации (КБК) используется в бюджетной системе РФ для идентификации конкретной строки расхода федерального или регионального государственного бюджета.		
kladr	KLADR code (Russian)	Russian unique codes assigned by Government Tax Service for every administrative address in Russian federation. Replaces by FIAS government system	False	ru	geo	Код КЛАДР	КЛАДР — ведомственный классификатор ФНС России, созданный для распределения территорий между налоговыми инспекциями и автоматизированной рассылки корреспонденции. Заменен системой ФИАС		
kosgucode	Russian Public Administration Sector Classification Code (KOSGU) 	Russian Public Administration Sector Classification Code (KOSGU) used in Russian budget planning and procurement	False	ru	government	Код КОСГУ	Код классификации секторов государственного управления используемые в Российской бюджетной системе		
kpp	Russian company supplemental registration code (KPP)	Russian company supplemental registration code (KPP). Used in combination with Taxpayer INN code	False	ru	companies	Код постановки на учёт (КПП)	Вспомогательный код используемый вместе с кодом ИНН для идентификации налоговой принадлежности компании.		
kvrcode	Russian budget expense type code (KVR)	Russian budget expense type code (KVR) used in budget planning and procurement	False	ru	government	Код вида расходов (КВР)	Код вида расходов (КВР) используется как часть кода бюджетной классификации в процессах связанных с бюджетированием и госзакупками в Российской Федерации		
kvrname	Russian budget expense type code name (KVR)	Russian budget expense type code (KVR) used in budget planning and procurement	False	ru	government	Наименование кода вида расходов (КВР)	Код вида расходов (КВР) используется как часть кода бюджетной классификации в процессах связанных с бюджетированием и госзакупками в Российской Федерации		
languagetag	IETF language tag	An IETF BCP 47 language tag is a standardized code or tag that is used to identify human languages in the Internet. The tag structure has been standardized by the Internet Engineering Task Force (IETF) in Best Current Practice (BCP) 47; the subtags are maintained by the IANA Language Subtag Registry.	False	common	geo	Языковой код IETF	Языковой код/тэг по стандарту IETF BCP 47 идентифицирующий конкретный человеческий язык, стиль написания и тд.	https://en.wikipedia.org/wiki/IETF_language_tag	wikipedia
latitude	Latitude	In geography, latitude is a geographic coordinate that specifies the north–south position of a point on the Earths surface. Latitude is an angle (defined below) which ranges from 0° at the Equator to 90° (North or South) at the poles.	False	common,ru	geo,common			https://en.wikipedia.org/wiki/Latitude	wikipedia
licaccount	Personal account (Russian)	A personal account is an account for use by an individual for that persons own needs. It is a relative term to differentiate them from those accounts for business or corporate use.	False	common,ru	finances	Лицевой счет	Лицевой счёт (англ. personal account) — бухгалтерский счёт для ведения учёта расчетов с физическими и юридическими лицами, на котором отражаются все финансово-кредитные операции с определенным клиентом, является документом аналитического учёта.		
